Tree_ID,Longitude,Latitude,Height_m,NDRE_Absolute,NDRE_Relative,Classification,Health_Status,Health_Label,Action,Block_Name,Tilt_Offset_m,Tilt_Direction,Tilt_Angle_deg,Tilt_Status,Crown_Ellipticity,Crown_Px,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Status,SR_Ref_Corrected,SR_Area_Ha
156,109.22328363240682,-0.4603255861423418,3.8,0.3418588042259216,0.5378,TBM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C18B,0.658,W,9.83,Miring Ringan,1.0,16129,Suspect,Critical,Priority Survey,OK,398,3.0
391,109.22381288230105,-0.4611825350454601,3.8,0.4037514328956604,0.701,TBM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.101,N,1.53,Tegak,1.351,7356,Abnormal,Sub-Optimal,Monitor,OK,398,3.0
438,109.22355723327551,-0.4613126200705191,3.79,0.3566493093967438,0.5767,TBM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C18B,0.488,W,7.33,Tegak,1.062,14655,Suspect,Critical,Priority Survey,OK,398,3.0
444,109.22333806804468,-0.4613367593844916,3.79,0.4381736218929291,0.7923,TBM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.208,NW,3.14,Tegak,1.007,14842,Normal,Moderate,Routine,OK,398,3.0
310,109.22369861009966,-0.460893007613487,3.77,0.4559899866580963,0.8397,TBM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.095,N,1.45,Tegak,1.213,14354,Normal,Moderate,Routine,OK,398,3.0
551,109.22395029072972,-0.4617298640506165,3.75,0.3615565598011017,0.5896,TBM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C18B,0.767,S,11.56,Miring Ringan,1.093,13940,Suspect,Critical,Priority Survey,OK,398,3.0
511,109.22266644346928,-0.4615831231157437,3.75,0.3702562749385834,0.6125,TBM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C18B,0.039,E,0.6,Tegak,1.011,15117,Suspect,Critical,Priority Survey,OK,398,3.0
244,109.22406324354284,-0.4606569949893765,3.73,0.4193050265312195,0.7422,TBM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.107,W,1.64,Tegak,1.156,13157,Abnormal,Sub-Optimal,Monitor,OK,398,3.0
215,109.22284153094508,-0.4605457277345294,3.73,0.3157251179218292,0.4693,TBM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C18B,1.273,SW,18.85,Miring Sedang,1.25,11205,Suspect,Critical,Priority Survey,OK,398,3.0
400,109.22326891354894,-0.4612082613282369,3.69,0.4137576222419739,0.7275,TBM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.204,NW,3.17,Tegak,1.001,16110,Abnormal,Sub-Optimal,Monitor,OK,398,3.0
