Tree_ID,Longitude,Latitude,Height_m,NDRE_Absolute,NDRE_Relative,Classification,Height_Class,Health_Status,Health_Label,Action,Block_Name,Classification_Abs,Health_Status_Abs,Action_Abs,Was_Reclassified
1298,109.22354717892536,-0.4466853311657751,8.05,0.3896900117397308,0.1805,TM,TM_Muda,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C13,Suspect,Critical,Priority Survey,False
987,109.22540307674076,-0.4461503812231563,8.04,0.368218719959259,0.0559,TM,TM_Muda,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C13,Suspect,Critical,Priority Survey,False
163,109.2311184868883,-0.4473213816558892,8.04,0.4240384399890899,0.3804,TM,TM_Dewasa,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Abnormal,Sub-Optimal,Monitor,False
20,109.22518419935211,-0.4450887166978922,8.0,0.4295617341995239,0.4127,TM,TM_Dewasa,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Abnormal,Sub-Optimal,Monitor,False
852,109.2309407733129,-0.4459357245505406,7.97,0.3794251978397369,0.1209,TM,TM_Muda,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C13,Suspect,Critical,Priority Survey,False
110,109.22840923503568,-0.4463808971275763,7.95,0.4730893969535827,0.6674,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
258,109.22521387835206,-0.4450680431485518,7.93,0.4840289354324341,0.7316,TM,TM_Muda,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
47,109.22665865851845,-0.4455647312670697,7.93,0.4242421686649322,0.3816,TM,TM_Dewasa,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Abnormal,Sub-Optimal,Monitor,False
166,109.22501474178816,-0.4473566633313556,7.92,0.5363413095474243,1.0,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
104,109.23040199325158,-0.4462710826723747,7.92,0.5436766743659973,1.0,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
76,109.2309727344808,-0.4459173493464162,7.92,0.4524529278278351,0.5465,TM,TM_Dewasa,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Normal,Moderate,Routine,False
4,109.22732760017666,-0.4450065127211795,7.9,0.5774224996566772,1.0,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
146,109.22977636837884,-0.4470453118690521,7.85,0.4358142614364624,0.4492,TM,TM_Dewasa,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Normal,Moderate,Routine,False
837,109.22532780753214,-0.4459113854739291,7.84,0.4952411949634552,0.7976,TM,TM_Muda,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
31,109.22962386972196,-0.4452161738002271,7.84,0.4026872217655182,0.2561,TM,TM_Dewasa,Sub-Optimal,Sub-Optimal (Oranye),Inspeksi Lanjut,AMEIV_C13,Abnormal,Sub-Optimal,Monitor,False
92,109.22518166865112,-0.446125050985112,7.84,0.4599705040454864,0.5905,TM,TM_Dewasa,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Normal,Moderate,Routine,False
34,109.2307468975378,-0.445317551396763,7.83,0.4758654236793518,0.6837,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
189,109.23017175463367,-0.4449865196182013,7.81,0.4347640573978424,0.443,TM,TM_Muda,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Normal,Moderate,Routine,False
